Confidence level ,No of Addresses ,Percentage ,Change since Feb 2023 
Addresses with a Confidence of 0 ,"3,118,268 ",20.14% ,"(5,864) "
Addresses with a Confidence of 1 ,"2,341,681 ",15.12% ,"11,331 "
Addresses with a Confidence of 2 ,"10,025,074 ",64.74% ,"39,056 "
Total ,"15,485,023 ",100.00% ,"44,523 "
,,,
,,,
,,,
,,,
