Level Geocoded - Vic ,May 2023 ,,Feb 2023 ,,Change ,
,No of Addresses ,Address % ,No of Addresses ,Address % ,No of Addresses ,Address % 
Addresses geocoded to Property level ,"3,774,293 ",98.85% ,"3,758,756 ",98.85% ,"15,537 ",0.01% 
Addresses geocoded to Street level ,"43,072 ",1.13% ,"42,964 ",1.13% ,108 ,0.00% 
Addresses geocoded to Locality level ,787 ,0.02% ,927 ,0.02% ,-140 ,0.00% 
,,,,,,
